RAJ2000,DEJ2000,Vmag,e_Vmag,Bmag,e_Bmag,gpmag,e_gpmag,rpmag,e_rpmag,ipmag,e_ipmag,fuv_mag,nuv_mag,err,present,min_mag,max_mag
120.14369,22.667338,11.854,0.059,12.403,0.04,12.126,0.026,11.738,0.052,12.793,1.623,22.769,16.15,1.6256045029465194,0,10.69,10.71
335.778691,-27.376159,11.176,0.343,11.576,0.358,11.604,0.692,11.624,1.302,11.125,0.469,20.771,15.123,1.624759059060758,0,10.69,10.71
335.603798,-27.51629,11.156,0.344,11.574,0.368,11.568,0.659,11.609,1.318,11.089,0.455,20.994,15.207,1.6224025394457444,0,10.69,10.71
118.637658,22.191174,12.244,0.056,12.786,0.036,12.525,0.051,12.127,0.052,13.47,1.616,21.899,16.104,1.6190098826134447,0,10.69,10.71
128.564939,7.468811,10.659,0.049,11.012,0.056,11.756,1.299,10.656,0.054,11.116,0.957,18.342,14.055,1.6160764214603218,1,10.56,10.58
119.985737,22.941949,11.319,0.049,11.711,0.026,11.502,0.026,11.268,0.042,12.372,1.607,19.08,14.818,1.6087156367736344,0,10.56,10.58
120.621382,22.778162,11.325,0.082,11.933,0.043,11.637,0.025,11.176,0.063,12.225,1.604,23.354,16.291,1.6080991884830986,0,10.56,10.58
119.784848,22.180147,12.191,0.068,12.711,0.034,12.452,0.023,12.084,0.067,13.155,1.604,21.98,16.07,1.607362435793496,0,10.56,10.58
120.554073,22.790524,11.221,0.079,11.8,0.041,11.517,0.022,11.076,0.055,12.142,1.6,22.477,15.992,1.603568208714553,0,10.56,10.58
120.003406,22.960672,12.12,0.055,12.581,0.021,12.338,0.025,12.039,0.037,13.125,1.599,20.833,15.653,1.600706406559304,0,10.56,10.58
128.510726,7.937324,12.603,0.026,13.222,0.116,13.163,0.648,12.634,0.274,13.132,1.432,23.527,17.056,1.5999174978729371,0,10.56,10.58
326.767718,11.873982,10.42,0.126,12.019,0.16,11.46,0.861,10.034,0.157,9.397,1.319,18.199,17.502,1.5959971804486373,1,10.35,0.23
128.50633,7.620273,13.538,0.032,14.073,0.077,14.173,0.9,13.517,0.161,14.093,1.305,23.173,17.296,1.595587352669856,0,10.35,0.23
119.664195,22.662386,10.911,0.047,11.539,0.019,11.22,0.021,10.765,0.04,11.75,1.594,22.202,15.926,1.5954457057512177,0,10.35,0.23
119.847661,22.634765,12.287,0.049,12.802,0.023,12.537,0.025,12.181,0.038,13.221,1.592,22.646,16.168,1.593569264261833,0,10.35,0.23
38.297595,-6.873268,9.962,0.421,10.178,0.232,10.264,0.566,10.094,0.81,10.404,1.153,17.569,13.314,1.5927743091850772,1,11.96,12.0
120.670468,22.642796,10.299,0.09,10.752,0.046,10.586,0.04,10.223,0.093,11.297,1.583,18.496,14.021,1.5894508485637422,0,11.96,12.0
352.006163,-5.70524,10.215,0.038,11.201,0.036,10.674,0.031,10.004,0.091,10.544,1.584,21.847,16.999,1.587777692247879,0,11.96,12.0
120.528412,22.30159,11.045,0.091,11.485,0.073,11.286,0.02,10.953,0.087,12.056,1.58,20.081,14.819,1.58681410379414,0,11.96,12.0
336.731868,-28.667419,10.411,0.409,10.79,0.364,10.985,0.805,10.871,1.15,10.389,0.487,18.927,14.153,1.5834996053046555,0,11.96,12.0
128.483553,7.947555,12.65,0.025,13.211,0.129,13.174,0.649,12.719,0.279,13.219,1.411,22.107,16.596,1.583423190432678,0,11.96,12.0
120.087082,22.096832,11.438,0.089,12.023,0.051,11.757,0.014,11.305,0.081,12.355,1.577,21.649,16.109,1.5824689570414958,0,11.96,12.0
119.165126,22.518699,11.668,0.045,12.221,0.048,11.941,0.067,11.553,0.038,12.593,1.579,22.444,15.985,1.5822461881767955,0,11.96,12.0
119.911002,22.256719,10.327,0.087,10.763,0.037,10.626,0.058,10.301,0.144,11.313,1.571,19.499,14.269,1.5814800030351317,0,11.96,12.0
120.197741,22.567879,10.927,0.069,11.342,0.039,11.144,0.019,10.874,0.061,11.976,1.578,19.345,14.486,1.581280493777116,0,11.96,12.0
120.178235,22.376682,10.455,0.097,11.269,0.05,10.909,0.021,10.238,0.104,11.137,1.573,22.575,16.718,1.5803464809971262,1,10.3,10.34
335.623005,-27.749427,11.272,0.355,11.496,0.368,11.572,0.661,11.792,1.259,11.441,0.462,17.578,14.059,1.5801566378052525,0,10.3,10.34
120.370705,22.361023,10.831,0.087,11.446,0.061,11.178,0.02,10.704,0.09,11.725,1.572,23.119,15.891,1.5782819773411847,0,10.3,10.34
120.231533,22.453071,11.167,0.079,11.663,0.047,11.436,0.021,11.072,0.064,12.154,1.573,20.947,15.176,1.5771226965585143,0,10.3,10.34
119.72963,23.056589,11.262,0.05,11.805,0.033,11.507,0.024,11.164,0.049,12.18,1.575,21.373,15.576,1.5770830669308449,0,10.3,10.34
120.159418,22.763378,11.424,0.057,11.834,0.027,11.625,0.026,11.367,0.042,12.455,1.574,19.296,14.64,1.5760374361035971,0,10.3,10.34
