RAJ2000,DEJ2000,nobs,Vmag,e_Vmag,Bmag,e_Bmag,gpmag,e_gpmag,rpmag,e_rpmag,ipmag,e_ipmag,fuv_mag,nuv_mag,present,type,min_mag,max_mag,class,Jmag,Hmag,Kmag,period,fuv-nuv,nuv-B,B-V,g-V,g-r,r-i,i-J,J-H,H-K
319.816066,0.090633,8,14.114,0.065,14.59,0.076,14.323,0.037,14.04,0.092,14.097,0.099,21.643,17.483,1,DSCT|GDOR|SXPHE,14.11,14.14,Оґ Scuti & HADS,13.428,13.25,13.215,,4.16,2.8930000000000007,0.4759999999999991,0.20899999999999963,0.28300000000000125,-0.057000000000000384,0.6689999999999987,0.17800000000000082,0.03500000000000014
14.303508,-2.785591,5,15.18,0.093,15.576,0.086,15.334,0.051,15.167,0.037,15.132,0.098,23.0,18.466,1,DSCT|GDOR|SXPHE,15.08,15.11,Оґ Scuti & HADS,14.464,14.282,14.174,,4.533999999999999,2.8900000000000006,0.3960000000000008,0.15399999999999991,0.16699999999999982,0.03500000000000014,0.6679999999999993,0.18200000000000038,0.10800000000000054
262.480629,60.855745,3,12.892,0.042,13.667,0.102,13.385,0.086,12.775,0.032,12.63,0.095,22.285,16.522,1,DSCT|GDOR|SXPHE,12.84,12.87,Оґ Scuti & HADS,11.983,11.688,11.625,,5.763000000000002,2.8549999999999986,0.7750000000000004,0.4930000000000003,0.6099999999999994,0.14499999999999957,0.6470000000000002,0.29499999999999993,0.06300000000000061
347.048396,-30.735968,6,10.468,0.081,10.928,0.02,10.694,0.08,10.372,0.085,10.189,0.095,20.359,14.345,1,DSCT|GDOR|SXPHE,10.29,10.36,Оґ Scuti & HADS,9.47,9.214,9.167,,6.014000000000001,3.417,0.46000000000000085,0.22600000000000087,0.32200000000000095,0.18299999999999983,0.7189999999999994,0.2560000000000002,0.0470000000000006
331.705029,-0.44116,5,13.467,0.032,14.061,0.019,13.729,0.009,13.309,0.024,13.086,0.166,22.572,17.757,1,DSCT|GDOR|SXPHE,13.33,13.35,Оґ Scuti & HADS,12.296,12.061,12.003,,4.814999999999998,3.6960000000000015,0.5939999999999994,0.2619999999999987,0.41999999999999993,0.22299999999999898,0.7900000000000009,0.23499999999999943,0.05799999999999983
219.423191,5.634531,6,10.724,0.018,11.494,0.032,11.104,0.14,10.48,0.049,10.167,0.079,22.005,16.935,1,ROT,10.48,10.51,General Rotators,9.126,8.679,8.561,,5.07,5.440999999999999,0.7699999999999996,0.379999999999999,0.6239999999999988,0.3130000000000006,1.0410000000000004,0.4469999999999992,0.11800000000000033
121.603169,22.673246,4,12.14,0.073,12.606,0.067,12.332,0.066,12.056,0.083,11.983,0.092,20.86,15.633,1,DSCT|GDOR|SXPHE,12.03,12.06,Оґ Scuti & HADS,11.295,11.06,11.017,,5.227,3.0269999999999992,0.4659999999999993,0.19200000000000017,0.2760000000000016,0.07299999999999862,0.6880000000000006,0.23499999999999943,0.04300000000000104
352.776784,-8.81376,10,10.835,0.137,12.391,0.056,11.548,0.037,10.236,0.079,9.267,0.0,22.452,21.036,1,SR,11.54,0.37,Long-period/Irregular,7.259,6.424,6.142,,1.4160000000000004,8.645000000000001,1.5559999999999992,0.7129999999999992,1.3119999999999994,0.9690000000000012,2.007999999999999,0.835,0.28200000000000003
122.075745,20.359732,4,13.161,0.097,13.696,0.059,13.378,0.086,13.044,0.075,12.965,0.06,22.515,17.296,1,EW,13.37,0.2,Eclipsing,12.242,11.98,11.914,,5.219000000000001,3.5999999999999996,0.5350000000000001,0.21700000000000053,0.33399999999999963,0.07900000000000063,0.722999999999999,0.26200000000000045,0.06600000000000072
214.042552,2.502069,5,15.06,0.086,15.337,0.08,15.154,0.081,15.054,0.035,14.98,0.089,19.529,17.494,1,RRC,15.03,0.29,RR Lyrae,14.505,14.281,14.113,,2.035,2.157,0.27699999999999925,0.09399999999999942,0.09999999999999964,0.07399999999999984,0.47499999999999964,0.2240000000000002,0.16800000000000104
